Dim,LR,Dropout,WeightDecay,Val_F1_Opt,Val_Prec_Opt,Val_Rec_Opt,Best_Threshold,Test_F1_Opt,Test_Prec_Opt,Test_Rec_Opt
64,0.01,0.5,0,0.5845,0.5378,0.64,0.3,0.5559,0.5203,0.5967
64,0.01,0.5,0.0005,0.5775,0.5037,0.6767,0.25,0.5624,0.4937,0.6533
64,0.01,0.3,0,0.5842,0.5283,0.6533,0.3,0.5632,0.5182,0.6167
64,0.01,0.3,0.0005,0.5924,0.5,0.7267,0.25,0.571,0.4838,0.6967
64,0.001,0.5,0,0.3872,0.3072,0.5233,0.1,0.3759,0.2943,0.52
64,0.001,0.5,0.0005,0.3877,0.3078,0.5233,0.1,0.3788,0.2968,0.5233
64,0.001,0.3,0,0.3991,0.2966,0.61,0.1,0.3727,0.2739,0.5833
64,0.001,0.3,0.0005,0.4022,0.2992,0.6133,0.1,0.3727,0.2739,0.5833
128,0.01,0.5,0,0.607,0.604,0.61,0.35,0.568,0.5799,0.5567
128,0.01,0.5,0.0005,0.595,0.5902,0.6,0.35,0.5773,0.5957,0.56
128,0.01,0.3,0,0.6012,0.5643,0.6433,0.3,0.5682,0.548,0.59
128,0.01,0.3,0.0005,0.595,0.533,0.6733,0.3,0.5904,0.5385,0.6533
128,0.001,0.5,0,0.4752,0.3588,0.7033,0.15,0.4667,0.3591,0.6667
128,0.001,0.5,0.0005,0.487,0.3688,0.7167,0.15,0.4671,0.3605,0.6633
128,0.001,0.3,0,0.484,0.4153,0.58,0.2,0.4745,0.4212,0.5433
128,0.001,0.3,0.0005,0.4869,0.4161,0.5867,0.2,0.4891,0.4322,0.5633
