user,is_anonymous,num_edits,added_words,deleted_words,changed_words,reverts_done,num_added_on_users,num_deleted_from_users,num_edited_after_users,num_reverted_users,num_reverted_by_users,vandal_label,deletion_ratio,aggression_ratio,community_rejection,revert_ratio
24.140.50.98,1,1,3,0,0,0,1,0,0,0,5,1,0.0,0.0,2.5,0.0
195.34.211.151,1,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
109.77.35.120,1,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
Banhtrung1,0,3,2,4,0,0,2,1,0,0,2,0,0.5714285714285714,0.25,0.5,0.0
Velo Vrbata,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
86.129.254.13,1,1,0,2,0,0,0,1,0,0,0,0,0.6666666666666666,0.5,0.0,0.0
186.45.42.19,1,1,11,0,0,0,2,0,0,0,4,1,0.0,0.0,1.3333333333333333,0.0
189.180.189.138,1,1,5,1,1,0,0,0,1,0,0,1,0.125,0.0,0.0,0.0
FireFirepointpoint,0,1,3,2,2,0,0,0,1,0,2,0,0.25,0.0,1.0,0.0
Thealex1996,0,3,14,4,3,0,3,1,1,0,4,0,0.18181818181818182,0.25,0.6666666666666666,0.0
108.86.152.170,1,1,1,0,0,0,1,0,0,0,1,1,0.0,0.0,0.5,0.0
143.69.13.188,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
M855GT,0,1,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.0,0.0
216.82.164.114,1,1,5,0,0,0,1,0,0,0,1,1,0.0,0.0,0.5,0.0
90.211.135.33,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
76.166.98.126,1,1,2,0,0,0,1,0,0,0,2,0,0.0,0.0,1.0,0.0
Poiesia,0,1,3,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
67.168.153.41,1,1,3,0,0,0,1,0,0,0,3,0,0.0,0.0,1.5,0.0
Nalilord~enwiki,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Handsopened,0,1,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Skolahi,0,1,14,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Renergade1,0,1,1,0,0,0,1,0,0,0,2,0,0.0,0.0,1.0,0.0
173.251.93.106,1,1,2,0,0,0,2,0,0,0,3,1,0.0,0.0,1.0,0.0
201.37.176.125,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
199.207.253.101,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
134.76.81.25,1,1,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
94.15.45.17,1,1,2,0,0,0,1,0,0,0,1,1,0.0,0.0,0.5,0.0
Simon824,0,1,7,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
Alvinleungthefirst,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Nazgul02,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
90.6.199.85,1,2,889,4717,0,0,1,1,0,0,1,0,0.8412698412698413,0.3333333333333333,0.3333333333333333,0.0
71.203.212.174,1,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,1.0,0.5
219.88.164.152,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
188.80.104.201,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0
Flying dustman,0,1,1,1,1,0,0,0,1,0,0,0,0.25,0.0,0.0,0.0
96.224.247.17,1,1,0,2,0,0,0,1,0,0,0,0,0.6666666666666666,0.5,0.0,0.0
GoldbergAdam,0,1,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Ventura488,0,1,42,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
12Danny123,0,1,2,0,0,0,1,0,0,0,4,0,0.0,0.0,2.0,0.0
Asdf1234ghjk5678,0,1,8,0,0,0,1,0,0,0,4,0,0.0,0.0,2.0,0.0
89.248.55.194,1,1,1,0,0,0,1,0,0,0,2,0,0.0,0.0,1.0,0.0
Fede ind,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
217.167.195.235,1,1,1,1,1,0,0,0,1,0,0,0,0.25,0.0,0.0,0.0
